"MONTH","COUNT"
2011-04,20395
2011-05,139433
2011-06,92268
2011-07,83169
2011-08,85384
2011-09,76580
2011-10,131497
2011-11,255726
2011-12,159441
2012-01,100832
2012-02,123154
2012-03,148613
2012-04,178734
2012-05,247715
2012-06,197106
2012-07,165158
2012-08,200171
2012-09,259485
2012-10,348102
2012-11,340120
2012-12,52951
2013-01,81449
2013-02,145388
2013-03,163276
2013-04,201354
2013-05,209056
2013-06,237747
2013-07,186786
2013-08,44890
2013-09,185106
2013-10,288158
2013-11,345080
2014-01,365026
2015-06,4130
2015-07,37964
2015-08,154606
2015-09,150536
2015-10,195200
2015-11,228203
2015-12,228970
2016-01,187094
2016-02,157741
2016-03,165924
2016-04,228335
2016-05,281620
2016-06,322342
2016-07,272020
2016-08,248579
2016-09,245565
